Word,Frequency
方便,2963
干净,2938
位置,1993
舒服,1468
体验,1155
地铁站,1044
地理位置,1017
交通,1003
喜欢,984
性价比,923
热情,892
推荐,861
装修,820
很棒,759
满意,752
整洁,745
高,742
温馨,741
吃,740
小姐姐,713
环境,686
舒适,686
回复,682
卫生,672
问题,665
设施,645
便利,637
一次,621
地铁,597
地方,591
及时,568
晚上,533
图片,514
床,507
风格,506
朋友,482
很近,478
nice,474
贴心,463
里,444
好找,430
东西,429
说,423
总体,419
小区,410
棒,402
房源,402
适合,401
没,397
出行,396
选择,396
沟通,394
还会,385
整体,385
走,384
布置,362
很大,357
周边,351
好看,335
看到,330
地铁口,328
距离,325
里面,322
阳台,319
需要,318
太,316
投影,313
很漂亮,310
好吃,306
服务,306
很快,305
安静,304
超,299
卫生间,297
厨房,297
空调,294
周围,292
两个,287
一点,281
找,281
玩,279
照片,277
点,276
住宿,273
步行,271
机会,271
隔音,267
希望,267
建议,264
房主,264
耐心,263
nan,263
北京路,261
十分,254
想,253
解决,252
公寓,252
厕所,252
开心,246
一下,244
分钟,241
客厅,239
睡,238
便利店,237
设计,234
安全,233
值得,230
管家,226
做,226
拍照,225
可爱,223
投影仪,221
好评,221
姐姐,217
商场,217
价格,216
准备,215
哈哈哈,214
长隆,214
蛮,212
美食,209
愉快,209
旁边,209
珠江,208
提供,207
觉得,205
家,202
酒店,202
第一次,200
广场,198
打扫,197
空间,197
塔,195
味道,191
夜景,189
带,189
时间,186
新,185
沙发,180
房,179
以后,176
态度,175
生活,174
帮,173
一起,171
不好,170
漂亮,170
过来,168
地段,168
感谢,167
不远,166
做饭,165
超市,165
唯一,164
德,163
赞,161
方面,161
出门,159
这家,159
找到,158
一应俱全,157
用心,157
挺不错,157
吃饭,155
联系,155
好多,154
一定,154
行李,153
家里,153
冰箱,152
电影,151
格调,146
知道,145
谢谢,145
细心,145
老板,144
信息,144
有家,143
九,142
热心,141
洗衣机,141
完全,141
用品,141
走路,140
阿姨,137
发现,137
问,136
步行街,136
整个,134
中,134
电视,134
特色,133
打车,132
一家,132
卧室,132
感,131
容易,131
优越,130
宽敞,130
房屋,129
旅行,129
设备,129
更,128
居住,127
热水,125
新城,125
直接,124
提前,124
Zita,124
退房,124
zita,122
洗澡,122
声音,122
左右,120
买,120
洗手间,119
浴室,117
订,116
已经,116
描述,115
万达,115
靠近,114
一天,114
吵,114
周到,113
还好,113
效果,112
外面,112
腰,112
完美,111
被子,111
详细,111
睡觉,110
人住,110
换,110
远,109
配套,109
过去,108
风景,108
遇到,107
攻略,107
一次性,106
对面,106
放,106
10,106
好好,106
算,106
电梯,105
介绍,104
影响,104
更好,103
之前,103
异味,102
装饰,102
回来,101
预定,101
帮忙,101
想象,100
免费,100
应该,100
蟑螂,100
主要,100
站,100
指引,99
细节,99
超棒,99
清新,99
枕头,99
使用,98
拍,98
差,98
稍微,98
实在,98
精致,97
美,97
床单,96
老,96
餐厅,95
景点,95
之后,95
床品,95
五星,95
旅游,95
不太好,95
迅速,94
客服,94
确实,94
店,94
继续,93
不到,93
回,93
不用,92
HiddenbyAirbnb,92
进门,92
这种,92
逛,92
楼,91
很赞,91
窗户,91
有个,91
最好,91
第二天,91
小蛮,91
停车,91
简约,90
服务态度,90
超好,89
前,89
一致,89
游玩,89
市中心,89
离长隆,88
三个,88
哒,87
到位,87
早上,87
解答,87
不足,86
二楼,86
快,86
不太,85
房東,85
门口,85
惊喜,85
告诉,85
挺舒服,84
坐,84
几分钟,83
完善,83
毛巾,83
到达,83
爱,83
屋子,83
满足,82
帮助,82
出,81
预期,81
小时,81
路,81
考虑,81
哥哥,81
几天,80
路线,80
房間,79
一模一样,79
孩子,79
五脏俱全,79
还会来,78
行,78
重要,78
楼上,78
一点点,78
楼层,78
每天,78
几个,77
床垫,77
风,77
一晚,77
第二次,77
还给,77
洗漱,77
坏,77
时,77
少女,76
上面,76
门,76
日式,75
感受,75
房间内,75
躺,75
清晰,75
地点,75
只能,75
热情好客,74
期待,74
要求,74
简单,74
开,74
公交,74
休息,74
密码,73
复式,73
榻榻米,73
回答,72
热水器,72
南站,72
灯,72
定,72
不够,71
购物,71
寄存,71
房客,71
注意,71
小吃,71
隔壁,70
顺利,70
旧,70
五分钟,70
晚,69
软,69
一间,69
期间,69
缺点,69
蚊子,68
收拾,68
有问必答,68
担心,68
洗,67
美中不足,67
住房,67
外卖,67
两天,67
十分钟,66
设备齐全,66
停车场,66
家具,66
清楚,66
下楼,66
水,66
便捷,66
路程,65
拖鞋,65
老房子,65
说话,64
窗帘,64
吃喝玩乐,64
那种,64
太棒了,64
睡眠,64
真是,63
保安,63
商圈,63
前台,63
放心,62
采光,62
情侣,62
实惠,62
很小,62
喝,62
坐在,62
安排,62
本来,61
发,61
落地窗,61
消息,61
公交站,61
老城区,61
客人,61
原因,61
行程,59
生活用品,59
打开,59
床铺,59
聊天,59
心,59
回应,59
超高,59
负责,58
马路,58
通风,58
床上,58
全,57
好玩,57
厨具,57
指南,56
出差,56
第一,56
相当,56
出口,56
主人,56
应有尽有,56
麻烦,56
还来,56
评价,56
温暖,56
实际,56
女朋友,56
招待,55
美好,55
交流,55
花城,55
临时,55
温柔,55
友好,55
江景,54
超赞,54
牙刷,54
好像,54
合适,54
顺畅,53
失望,53
配备,53
冷,53
人超,53
秒,53
清洁,53
改进,53
视野,52
满分,52
根本,52
够,52
窗外,52
久,52
算是,52
每次,52
楼梯,52
听,52
15,51
马桶,51
地毯,51
可惜,51
看着,51
床上用品,51
情况,51
反正,51
浴巾,51
哈哈哈哈,51
公共,51
小伙伴,51
麻雀虽小,51
没什么,50
出入,50
手机,50
位于,50
OK,50
家人,50
进,50
屋内,50
沐浴露,50
一家人,49
这点,49
周边环境,49
写,49
丢,49
相符,49
早茶,49
室内,49
偏,49
尤其,49
下面,49
热,48
一股,48
半夜,48
完,48
小朋友,48
不想,48
挺大,48
睡得,48
四个,48
茶,48
不算,48
得到,48
大床,48
睡着,48
ok,47
地址,47
舒心,47
点赞,47
屋里,47
优点,47
后面,47
每个,46
wifi,46
路上,46
一张,46
选,46
网络,46
送,45
嘻嘻,45
饮料,45
吃喝,45
光线,45
一楼,45
强烈推荐,45
有人,45
区域,45
棒棒,45
硬,44
内部,44
女生,44
天,44
好离,44
符合,44
景色,44
这是,44
真心,44
老旧,44
号线,44
提醒,44
loft,43
预订,43
明亮,43
独立,43
平台,43
看见,43
繁华,43
投屏,43
需求,43
能够,42
下来,42
中心,42
密码锁,42
加,42
小屋,42
开门,42
WiFi,42
美女,42
处理,42
看得出,42
关键,42
安保,42
早餐,42
无敌,41
三天,41
公园,41
便宜,41
地板,41
弄,41
信号,41
难,41
噪音,40
速度,40
退,40
告知,40
请,40
点点,40
办法,40
餐具,40
主动,40
这间,40
洗发水,40
管理,40
家庭,40
出游,40
友善,40
指示,39
元,39
好人,39
男朋友,39
聚会,39
垃圾,39
太小,39
事情,39
地图,39
提示,39
格局,39
刚,39
物品,39
漏水,39
坐地铁,38
相对,38
工作,38
细致,38
质量,38
进入,38
天气,38
饭店,38
合理,38
菜市场,38
地點,38
第一天,38
吹,38
衣服,38
摆设,38
导致,38
惬意,38
还行,37
噢,37
间,37
再来,37
江边,37
挺近,37
布局,37
更换,36
凌晨,36
无法,36
逛街,36
零食,36
旅程,36
全程,36
24,36
领馆,36
保利,36
消毒,36
喔,36
专门,36
看看,35
智能,35
阳光,35
小孩,35
贵,35
重点,35
滴滴,35
主题,35
小心,35
离开,35
12,35
直达,35
陶陶,34
回去,34
接待,34
被套,34
回家,34
灰尘,34
香香的,34
自助,34
天河,34
足够,34
花洒,34
机场,34
尴尬,34
调料,34
听到,34
美食街,34
赤岗,33
太好了,33
