Word,Frequency
很,18033
的,17728
好,7230
不,6565
也,5851
了,5186
是,5117
有,5022
房间,4634
房东,4063
都,3871
住,3432
就,3201
位置,2949
方便,2940
干净,2856
非常,2790
来,2786
还,2737
一,2579
房子,2431
在,2140
错,2025
我,2000
和,1964
家,1845
小,1787
人,1773
挺,1596
会,1523
舒服,1506
到,1430
价,1303
近,1300
大,1271
比,1261
入,1240
个,1217
我们,1217
次,1182
体验,1124
去,1078
棒,1063
离,1057
真,1054
地理,1040
下次,1039
很多,1032
交通,1005
热情,1001
太,1000
楼下,984
喜欢,972
广州,965
这,963
地铁站,957
给,915
推荐,905
能,896
感觉,839
吃,835
点,833
么,828
上,828
高,826
民宿,822
环境,820
装修,817
里,808
得,806
地铁,793
多,791
过,784
姐姐,781
满意,774
要,765
说,755
齐全,750
卫生,747
找,738
温馨,731
整洁,730
床,708
但是,703
问题,699
设施,684
超级,681
入住,677
舒适,665
回复,660
便利,648
再,644
看,617
两,610
分钟,602
没,592
地方,588
而且,574
天,566
有点,557
晚上,541
朋友,529
着,526
图片,515
风格,502
用,489
漂亮,484
最,484
跟,453
服务,436
贴心,435
适合,431
小区,423
总体,420
走,417
因为,414
出行,403
想,401
选择,400
其他,397
周边,396
沟通,395
但,392
下,391
房源,390
几,377
整体,375
布置,359
自己,355
楼,354
厨房,353
又,353
nice,346
睡,344
距离,340
好看,339
出,327
吧,326
里面,324
啦,324
如果,323
投影,323
需要,321
只,317
房,314
周围,313
让,313
玩,301
好吃,301
远,299
安静,294
第一,292
解决,289
卫生间,287
做,286
后,285
超,284
空调,283
更,282
北京路,280
性,279
虽然,277
赞,276
照片,276
住宿,275
哦,273
阳台,273
机会,270
十分,270
一下,269
态度,268
希望,267
建议,266
三,264
nan,263
步行,263
房主,262
用品,262
带,262
耐心,260
回,258
长隆,255
公寓,255
管,254
才,254
生活,253
你,250
安全,250
开心,249
话,248
晚,248
隔音,246
厕所,245
对,238
很快,237
一点,236
商场,234
差,233
那,232
新,230
客厅,229
站,229
拍照,226
可爱,226
中,226
起,226
准备,223
值得,222
地,222
设计,221
打扫,220
间,219
老,218
总之,216
被,213
愉快,212
一些,211
设备,210
等,210
投影仪,209
蛮,209
旁边,208
进,207
广场,206
便利店,206
珠江,205
觉得,205
地铁口,205
啊,204
空间,204
哪,202
美食,200
各种,199
酒店,198
感谢,196
好评,196
一起,191
沙发,189
第二,188
订,188
门,187
味道,187
把,184
所以,183
时间,182
快,181
格,180
帮,176
坐,176
不错,176
算,175
内,175
像,173
夜景,173
买,170
超市,168
地段,167
电视,167
基本,165
她,165
做饭,164
与,163
开,163
逛,162
从,162
联系,162
唯一,162
换,162
周到,161
退,159
找到,158
美,157
完全,157
出门,157
般,157
行,156
小姐,156
好多,154
什,154
一应俱全,153
用心,152
宽敞,151
冰箱,151
然后,150
吃饭,150
们,149
电影,149
信息,148
老板,147
细心,147
德,146
洗,146
热心,145
为,144
知道,143
格调,142
这样,142
够,142
特色,140
一直,140
走路,140
谢谢,139
房屋,139
前,139
容易,137
发现,137
洗衣机,136
行李,136
步行街,136
全,134
问,133
卧室,133
洗澡,133
呢,132
提前,131
打,131
旧,129
优越,129
呀,127
旅行,127
吵,126
居住,124
直接,124
套,123
各,123
有些,123
少,122
声音,121
二,119
喝,118
最后,118
描述,117
张,116
总,116
连,116
广州塔,116
屋子,116
已经,115
店,115
拍,115
五,114
时,114
睡觉,114
或者,114
放,114
效果,113
爱,113
靠近,113
外面,113
发,112
开始,111
热水,111
可,110
阿,110
配套,109
万达,109
水,109
对面,109
风景,108
遇到,108
清新,108
一致,108
完美,108
过去,108
打车,107
zita,106
一次性,105
足,105
公交,104
装饰,104
介绍,104
使用,104
详细,104
免费,103
浴室,103
外,103
洗手间,103
异味,101
帮忙,101
预定,101
被子,101
那个,101
坏,101
蟑螂,100
好好,100
想象,100
密码,100
新城,99
路线,99
口,99
另外,99
哈哈,98
主要,98
大概,98
影响,98
米,98
电梯,98
实在,97
旅游,97
稍微,97
枕头,97
考虑,97
难,96
小时,96
啥,96
到位,95
指引,95
餐厅,95
哈哈哈,95
首先,94
拿,94
精致,94
超棒,94
定,93
继续,93
确实,93
Zita,93
四,93
九,93
较,93
窗户,92
街,92
客服,92
有什,92
选,92
迅速,91
并,90
停车,89
姨,89
简直,88
景点,88
软,88
游玩,88
解答,87
简约,87
衣服,87
其实,87
购物,86
早上,86
细节,86
告诉,85
注意,85
毛巾,84
完善,83
市中心,83
完,83
号,82
床品,82
楼上,82
孩子,82
好客,82
十,82
并且,81
门口,81
到达,81
哥哥,81
帮助,81
攻略,81
预期,81
躺,81
满足,81
怎,80
床单,80
房東,80
卖,79
种,79
他,79
送,79
南,79
路,78
聊天,78
无,78
重要,78
位,77
简单,77
个人,77
感受,77
线,77
一点点,77
姐人,77
中心,76
上面,76
条,76
惊喜,75
一切,75
刚,75
以及,74
要求,74
叫,74
顺利,74
休息,74
热水器,74
早,73
地点,73
房間,72
评,72
回答,72
消息,72
车,72
住房,72
极,72
图,71
久,71
清晰,71
之,71
清楚,70
期待,70
五星,70
对于,69
房客,69
锁,68
蚊子,68
风,68
担心,68
接,68
哈,68
所,67
缺点,67
如,67
块,67
写,67
本,66
偏,66
分,66
停车场,66
明亮,66
层,65
加,65
略,65
小吃,65
具,65
路程,64
马路,64
花,64
说话,64
脏,64
有问必答,64
日式,63
保安,63
贵,63
洗漱,63
该,63
东,62
吃喝玩乐,62
安排,62
塔,62
配,62
前台,62
床垫,62
挺近,62
商圈,61
原因,61
每,61
交流,61
客人,61
楼层,61
除,61
复式,61
老城区,61
采光,61
吹,61
收拾,60
打开,60
HiddenbyAirbnb,60
姐,59
行程,59
相当,59
室内,59
放心,59
靠,59
听,59
窗帘,59
些,58
绝对,58
睡眠,58
美中不足,58
公共,58
钱,57
指南,57
麻烦,57
秒,57
小蛮腰,57
便捷,57
寄存,57
刚好,57
股,57
公交站,56
应有尽有,56
灯,56
实际,56
拖鞋,56
出口,56
步,56
真是,56
强烈,56
怕,56
楼梯,55
马桶,55
友好,55
出差,55
冷,55
改进,55
弄,55
美好,55
温暖,55
段,54
说是,54
临时,54
工作,54
狗,54
招待,54
居,54
牙刷,54
再次,54
而,53
根本,53
厨具,53
通风,53
及,53
清洁,53
只是,53
好像,53
那种,52
隔壁,52
地毯,52
好性,52
热,52
失望,52
浴巾,51
超级nice,51
超高,51
手机,51
配备,51
满分,51
元,50
处理,50
顺畅,50
超赞,50
实惠,50
条件,50
合适,50
低,50
温柔,50
同,49
佳,49
屋内,49
视野,49
下面,49
小伙伴,49
榻榻米,49
网络,49
出入,49
硬,49
尤其,49
没什,49
回应,49
任何,49
小朋友,48
拉,48
隔,48
这些,48
地址,48
反正,48
超级棒,48
符合,48
感,47
后面,47
管理,47
人员,47
负责,47
见,47
情侣,47
好玩,47
點,47
必须,46
处,46
马上,46
上下九,46
优点,46
窗外,46
每个,46
落地窗,46
内部,46
且,46
可惜,46
舒心,46
合理,45
沐浴,45
